X,Y,OBJECTID,ESTABLISH,LOCATION,LICENSE_TY,ESTABLISHMENTID
3112146.309835836291313,1454869.769046306610107,203,7-Eleven Store 13171A,505 South Shields Street,Fermented Malt Beverage (off-premises),3374
3106777.23823082447052,1452596.057060182094574,204,Everyday Stores,949 South Taft Hill Road,Fermented Malt Beverage (off-premises),3377
3122944.099589884281158,1449566.759633362293243,205,7-Eleven #26927B,1600 South Lemay Avenue,Fermented Malt Beverage (off-premises),3379
3117069.10051241517067,1456827.649320125579834,206,Bask Salon,153 West Mountain Avenue,Beer and Wine,3380
3118268.480657532811165,1457603.679912850260735,207,Downtown Artery,254 Linden Street,Lodging & Entertainment,3383
3117349.480208680033684,1448867.669824704527855,208,Totally 80's Pizza,1717 South College Avenue,Beer and Wine,3384
3117341.880480661988258,1457805.399657040834427,209,City Drug,209 North College Avenue,Retail Liquor Store,3385
3117614.230336919426918,1451813.598979458212852,210,Nick's of Fort Collins,1100 South College Avenue,Hotel-Restaurant,3387
3117344.260736674070358,1456880.359832167625427,211,Rare Italian,101 South College Avenue,Hotel-Restaurant,3389
3106846.576678887009621,1451728.850787371397018,212,McClellan's Brewing Company,1035 South Taft Hill Road,Brew Pub,3392
3123066.739766001701355,1449288.759201109409332,213,Dungeons & Drafts,"1624 South Lemay Avenue, Unit 6",Tavern,3393
3117292.190624624490738,1426134.940363541245461,214,Matt's Place,6013 South College Avenue,Tavern,3395
3117592.710032895207405,1455225.589862629771233,215,Mulberry Max Wine & Spirits,"460 South College Avenue, Suite G",Retail Liquor Store,3396
3117666.390656962990761,1441846.159914165735245,216,Empire Fast Fuels,3038 South College Avenue,Fermented Malt Beverage (off-premises),3401
3117371.14236868917942,1457195.173976466059685,217,"Cooking Studio Fort Collins, The","123 North College Avenue, Suite 130",Beer and Wine,3403
3117032.180320382118225,1456827.759544119238853,218,Slyce Pizza Co,163 West Mountain Avenue,Beer and Wine,3404
3118493.749905735254288,1458310.749369502067566,219,Wolverine Farm Letterpress & Publick House,316 Willow Street,Beer and Wine,3411
3112051.140411734580994,1452613.789300203323364,220,THE MARMOT,"829 South Shields Street, #100",Brew Pub,3415
3118147.579985424876213,1457438.489960700273514,221,Velvet Files,224 Linden Street,Beer and Wine,3416
3117353.430336683988571,1449064.50966489315033,222,"Perfect Pour, The",1671 South College Avenue,Retail Liquor Store,3419
3117712.670433014631271,1440030.42996047437191,223,LongHorn Steakhouse #5550,3450 South College Avenue,Hotel-Restaurant,90826
3123067.278485998511314,1433357.169346272945404,224,Painting with a Twist,"1112 Oakridge Drive, Suite 107",Beer and Wine,90828
3118804.189890027046204,1440668.290553078055382,225,Bar Louie,321 East Foothills Parkway,Hotel-Restaurant,90952
3132523.21921481192112,1433564.589874461293221,226,Tom and Chee,"2909 East Harmony Road, #102",Beer and Wine,91412
3128159.169546738266945,1448071.389919966459274,227,"Farmhouse at Jessup Farm, The",1957 Jessup Drive,Hotel-Restaurant,91562
3123066.739766001701355,1449288.759201109409332,228,Loyalty Liquors,1630 South Lemay Avenue Suite 7,Retail Liquor Store,91739
